Module,Area,FeatureName,RoutePath,HttpMethod,ControllerClass,ControllerMethod,Category,Status,Description,IsUIPage,IsCronEndpoint,IsApiEndpoint,MenuLocation,Notes
APIs,API,API – Api,/API,GET,App\Modules\APIs\Controllers\APIController,index,API / Backend,active,"Handles GET requests to `/API` via App\Modules\APIs\Controllers\APIController::index, providing backend data/services for API consumers.",false,false,true,APIs > API,
APIs,API,API – Api,/API,GET|POST,App\Modules\APIs\Controllers\APIController,index,API / Backend,active,"Handles GET and POST requests to `/API` via App\Modules\APIs\Controllers\APIController::index, providing backend data/services for API consumers.",false,false,true,APIs > API,
APIs,API,API – Fetch Active Trade,/API/Investments/fetchActiveTrades/(:any),GET,App\Modules\APIs\Controllers\API,fetchActiveTrade,API / Backend,active,"Handles GET requests to `/API/Investments/fetchActiveTrades/(:any)` via App\Modules\APIs\Controllers\API::fetchActiveTrade, providing backend data/services for API consumers.",false,false,true,APIs > API,
APIs,API,API – Fetch Real Time Data,/API/Investments/fetchRealTimeData/(:any)/(:any),GET,App\Modules\APIs\Controllers\API,fetchRealTimeData,API / Backend,active,"Handles GET requests to `/API/Investments/fetchRealTimeData/(:any)/(:any)` via App\Modules\APIs\Controllers\API::fetchRealTimeData, providing backend data/services for API consumers.",false,false,true,APIs > API,
APIs,API,API – Get Symbols By Trade Type,/API/Investments/getSymbolsByTradeType/(:any),GET,App\Modules\APIs\Controllers\API,getSymbolsByTradeType,API / Backend,active,"Handles GET requests to `/API/Investments/getSymbolsByTradeType/(:any)` via App\Modules\APIs\Controllers\API::getSymbolsByTradeType, providing backend data/services for API consumers.",false,false,true,APIs > API,
APIs,API,API – Get Symbols By Trade Type,/API/Investments/getSymbolsByTradeType/(:segment),GET|POST,App\Modules\APIs\Controllers\APIController,getSymbolsByTradeType,API / Backend,active,"Handles GET and POST requests to `/API/Investments/getSymbolsByTradeType/(:segment)` via App\Modules\APIs\Controllers\APIController::getSymbolsByTradeType, providing backend data/services for API consumers.",false,false,true,APIs > API,
APIs,API,API – Status,/API/Status,GET|POST,App\Modules\APIs\Controllers\APIController,status,API / Backend,active,"Handles GET and POST requests to `/API/Status` via App\Modules\APIs\Controllers\APIController::status, providing backend data/services for API consumers.",false,false,true,APIs > API,
APIs,API,API – Status,/API/Status/(:segment),GET|POST,App\Modules\APIs\Controllers\APIController,status,API / Backend,active,"Handles GET and POST requests to `/API/Status/(:segment)` via App\Modules\APIs\Controllers\APIController::status, providing backend data/services for API consumers.",false,false,true,APIs > API,
APIs,Alerts,Alerts – Generate Advisor Media From Alert,/API/Alerts/API/Alerts/generateAdvisorMediaFromAlert,POST,App\Modules\APIs\Controllers\AlertsController,generateAdvisorMediaFromAlert,API / Backend,active,"Handles POST requests to `/API/Alerts/API/Alerts/generateAdvisorMediaFromAlert` via App\Modules\APIs\Controllers\AlertsController::generateAdvisorMediaFromAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Generate Advisor Media From Alert,/API/Alerts/API/Alerts/generateAdvisorMediaFromAlert/(:num),POST,App\Modules\APIs\Controllers\AlertsController,generateAdvisorMediaFromAlert,API / Backend,active,"Handles POST requests to `/API/Alerts/API/Alerts/generateAdvisorMediaFromAlert/(:num)` via App\Modules\APIs\Controllers\AlertsController::generateAdvisorMediaFromAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
