golden_task,domain,count,risk_bucket,recommended_action,scope,implementation_allowed
GT-001D-A,Marketing,192,content_or_distribution_surface,separate_public_webhook_owner_review_from_api_token_routes,Review and classify 192 API/Marketing backlog routes before applying any guard.,no
GT-001D-B,Broker,81,financial_or_account_surface,owner_review_then_user_auth_or_api_token_guard,Review and classify 81 API/Broker backlog routes before applying any guard.,no
GT-001D-C,Alerts,78,content_or_distribution_surface,separate_public_webhook_owner_review_from_api_token_routes,Review and classify 78 API/Alerts backlog routes before applying any guard.,no
GT-001D-D,Budget,26,financial_or_account_surface,owner_review_then_user_auth_or_api_token_guard,Review and classify 26 API/Budget backlog routes before applying any guard.,no
GT-001D-E,Wallets,22,financial_or_account_surface,owner_review_then_user_auth_or_api_token_guard,Review and classify 22 API/Wallets backlog routes before applying any guard.,no
GT-001D-F,Investments,21,financial_or_account_surface,owner_review_then_user_auth_or_api_token_guard,Review and classify 21 API/Investments backlog routes before applying any guard.,no
GT-001D-G,Solana,19,financial_or_account_surface,owner_review_then_user_auth_or_api_token_guard,Review and classify 19 API/Solana backlog routes before applying any guard.,no
GT-001D-H,Email,18,content_or_distribution_surface,separate_public_webhook_owner_review_from_api_token_routes,Review and classify 18 API/Email backlog routes before applying any guard.,no
GT-001D-I,Discord,17,content_or_distribution_surface,separate_public_webhook_owner_review_from_api_token_routes,Review and classify 17 API/Discord backlog routes before applying any guard.,no
GT-001D-J,Predictions,14,financial_or_account_surface,owner_review_then_user_auth_or_api_token_guard,Review and classify 14 API/Predictions backlog routes before applying any guard.,no
GT-001D-K,eSports,8,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 8 API/eSports backlog routes before applying any guard.,no
GT-001D-L,AIOps,6,operator_or_status_surface,owner_review_then_auth_policy_decision,Review and classify 6 API/AIOps backlog routes before applying any guard.,no
GT-001D-M,ContentEngine,6,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 6 API/ContentEngine backlog routes before applying any guard.,no
GT-001D-N,Ops,4,operator_or_status_surface,owner_review_then_auth_policy_decision,Review and classify 4 API/Ops backlog routes before applying any guard.,no
GT-001D-O,AiOps,4,operator_or_status_surface,owner_review_then_auth_policy_decision,Review and classify 4 API/AiOps backlog routes before applying any guard.,no
GT-001D-P,DripCampaign,4,content_or_distribution_surface,separate_public_webhook_owner_review_from_api_token_routes,Review and classify 4 API/DripCampaign backlog routes before applying any guard.,no
GT-001D-Q,AI,3,operator_or_status_surface,owner_review_then_auth_policy_decision,Review and classify 3 API/AI backlog routes before applying any guard.,no
GT-001D-R,Docs,2,operator_or_status_surface,owner_review_then_auth_policy_decision,Review and classify 2 API/Docs backlog routes before applying any guard.,no
GT-001D-S,Status,2,operator_or_status_surface,owner_review_then_auth_policy_decision,Review and classify 2 API/Status backlog routes before applying any guard.,no
GT-001D-T,Chat,2,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 2 API/Chat backlog routes before applying any guard.,no
GT-001D-U,Support,2,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 2 API/Support backlog routes before applying any guard.,no
GT-001D-V,User,2,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 2 API/User backlog routes before applying any guard.,no
GT-001D-W,Users,2,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 2 API/Users backlog routes before applying any guard.,no
GT-001D-X,mobile,2,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 2 API/mobile backlog routes before applying any guard.,no
GT-001D-Y,Bitcoin,2,financial_or_account_surface,owner_review_then_user_auth_or_api_token_guard,Review and classify 2 API/Bitcoin backlog routes before applying any guard.,no
GT-001D-Z,Health,1,operator_or_status_surface,owner_review_then_auth_policy_decision,Review and classify 1 API/Health backlog routes before applying any guard.,no
GT-001D-AA,CoinVault,1,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 1 API/CoinVault backlog routes before applying any guard.,no
GT-001D-AB,Mdit,1,product_api_surface,owner_review_then_minimal_guard_slice,Review and classify 1 API/Mdit backlog routes before applying any guard.,no
