TaskID,ProjectID,SubprojectID,Area,Feature_Surface,Title,Acceptance,Status,Severity,Priority,Owner,Due_Date,Routes,Handler,Dependencies,Evidence_Link,Updated_UTC
MYMI-GTM-001,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Contain exposed tracked credentials,Contain exposed tracked credentials,Credential owners revoke or rotate every exposed credential using redacted evidence; no secret value appears in any report.,proposed,critical,P0,human-external-mutation,,,chat/.env;.gitignore,,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-002,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Replace tracked runtime configuration with a safe contract,Replace tracked runtime configuration with a safe contract,"Complete and certify “Replace tracked runtime configuration with a safe contract” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P0,security-owner,,,chat/.env;chat/README.md;.gitignore,MYMI-GTM-001,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-003,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Enforce nested secret scanning,Enforce nested secret scanning,"Complete and certify “Enforce nested secret scanning” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P0,source-review,,,.github/workflows/;app/Commands/Security/,MYMI-GTM-002,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-004,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Repair AIOps command and workflow contract,Repair AIOps command and workflow contract,Workflow command names match registered Spark commands and controlled auto and manual runs pass.,proposed,high,P0,source-review,,,.github/workflows/aiops-auto-run.yml;.github/workflows/aiops-manual-priority.yml;app/Commands/AIOps/,,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-005,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Repair CI Health workflow syntax,Repair CI Health workflow syntax,The workflow parses as YAML and GitHub Actions syntax and a branch run executes its health job.,proposed,medium,P0,source-review,,,.github/workflows/ci-health.yml,,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-006,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Add workflow syntax and action lint gate,Add workflow syntax and action lint gate,"Complete and certify “Add workflow syntax and action lint gate” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,medium,P0,source-review,,,.github/workflows/;scripts/,MYMI-GTM-005,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-007,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Restore release-critical CI failure semantics,Restore release-critical CI failure semantics,Release-critical checks fail correctly; any non-blocking report is explicitly named and justified.,proposed,high,P0,source-review,,,.github/workflows/ci.yml;phpunit.xml.dist;composer.json,MYMI-GTM-005,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-008,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Add dependency and supply-chain gates,Add dependency and supply-chain gates,"Complete and certify “Add dependency and supply-chain gates” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,medium,P0,security-owner,,,composer.json;composer.lock;mobile/package.json;mobile/package-lock.json;.github/workflows/,MYMI-GTM-003;MYMI-GTM-007,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-009,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Reconcile open pull-request and stacked-branch lineage,Reconcile open pull-request and stacked-branch lineage,"Complete and certify “Reconcile open pull-request and stacked-branch lineage” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,high,P0,source-review,,,.github/;docs/gt-002/;docs/_aiops/,,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
MYMI-GTM-010,MYMI-GTM-COMPLETION,W0,Incident containment and trustworthy automation,Create current GT-002-R2 functional tracker,Create current GT-002-R2 functional tracker,"Complete and certify “Create current GT-002-R2 functional tracker” with targeted positive, negative, authorization, and failure evidence as applicable; record risks, rollback, and atomic successors.",proposed,medium,P0,source-review,,,docs/gt-002/;docs/_aiops/gtm/,MYMI-GTM-009,docs/_aiops/gtm/MYMI_PLATFORM_COMPLETION_AUDIT_2026-09-20.md,2026-09-20T00:00:00Z
