Module,"Gap ID",Requirement,"Doc Source","Code Evidence",Status,Priority,"Estimated Effort",Dependencies,Owner,"Target Version",Notes
Docs,GAP-DOCS-001,"/docs/*.md Alignment Check - Codex Code Reviews",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
User,GAP-USER-001,"Active User Email: Promote Active Services in their own sections",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
DevOps,GAP-DEVOPS-001,"Add /system/healthz and /system/diag endpoints plus standards configs per hardening playbook",docs/hardening-playbook.md:L35-L71,"app/Controllers/System/HealthController.php; tests/feature/SystemHealthEndpointsTest.php; docs/hardening-playbook.md; docs/gap-audit/next-steps.md",Completed,P1,S,None,Codex,v1.0,"Structured /system/healthz and /system/diag JSON (app_version, git_ref, dependency checks) with latency logging plus feature coverage; docs note for curl verification. Tests: curl -sS ${BASE_URL}/system/healthz | jq . && curl -sS ${BASE_URL}/system/diag | jq .; phpunit (pending composer install). Completed 2026-01-01."
Predictions,GAP-PREDICTIONS-001,"Add migrations for predictions markets/options/orders/trades/positions/liquidity/settlements/payouts",docs/predictions/README.md:L19-L33,"app/Database/Migrations/2025-09-09-000010_CreatePredictionsMarkets.php; app/Database/Migrations/2025-09-09-000020_CreatePredictionsOptions.php; app/Database/Migrations/2025-09-09-000030_CreatePredictionsOrders.php; app/Database/Migrations/2025-09-09-000040_CreatePredictionsTrades.php; app/Database/Migrations/2025-09-09-000050_CreatePredictionsPositions.php; app/Database/Migrations/2025-09-09-000060_CreatePredictionsLiquidity.php; app/Database/Migrations/2025-09-09-000070_CreatePredictionsSettlementsPayouts.php; docs/predictions/README.md; docs/gap-audit/next-steps.md; docs/gap-audit/gap_tracker.csv",Completed,P1,M,None,Codex,v1.1,"CI4 migrations for predictions markets/options/orders/trades/positions/liquidity/settlements/payouts with indexes + FKs; docs updated with migrate/run/verify steps. Tests: php spark migrate -n App; php spark migrate:status. Completed 2026-01-01."
Marketing,GAP-MARKETING-001,"Advertisement Videos",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
AI,GAP-AI-001,"Automated Codex Code Reviews",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Codex,GAP-CODEX-001,"Codex: Daily Automated Codex Complete Repository Review & Suggestions",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Codex,GAP-CODEX-002,"Codex: Discord Review based on CodeIgniter 4 Functionality",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Marketing,GAP-MARKETING-002,"Coffee & Stocks - MEME Logo",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Predictions,GAP-PREDICTIONS-003,"Complete liquidity and cancel order APIs per docs",docs/predictions/README.md:L65-L94,app/Modules/APIs/Controllers/PredictionsController.php:L55-L89,Incomplete,P2,M,GAP-PREDICTIONS-001,Codex,v1.1,"Implement add/remove liquidity and cancel with validation + telemetry"
Budgeting,GAP-BUDGET-001,"Compute initial bank balance using opening balance + posted transactions filtered by as-of date and account",docs/budgeting/architecture.md:L14-L41,app/Models/BudgetModel.php:L420-L454,Gap,P0,M,None,Codex,v1.0,"Join bf_users_bank_transactions, filter posted<=asOf, exclude non-active accounts"
Application,GAP-APPLICATION-001,"Daily Error Log - Code Review",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Search,GAP-SEARCH-002,"Expand search to site-wide content (pages, knowledgebase, projects) alongside tickers",docs/search/README.md:L18-L22,N/A,Gap,P2,L,None,Codex,Backlog,"Design schema + controller to aggregate cross-entity results"
Search,GAP-SEARCH-001,"Expose /API/Investments/searchTickers route for navbar autocomplete with limit clamp and local-first search",docs/search/README.md:L5-L22,"app/Config/Routes.php:L560-L578; app/Modules/APIs/Controllers/InvestmentsController.php:L214-L325",Completed,P1,S,None,Codex,v1.0,"GET route registered; limit clamped 1-25 with local-first then AlphaVantage fallback. Tests: php spark routes | grep -i searchTickers && curl -s '${BASE_URL}/API/Investments/searchTickers?query=AAPL&limit=5'. Completed 2026-01-01."
Alerts,GAP-ALERTS-001,"Financial + Economic New Updates & Storyboard",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Predictions,GAP-PREDICTIONS-002,"Fix /Predictions/* UI routes pointing to missing namespace",docs/predictions/README.md:L65-L94,"app/Config/Routes.php; docs/predictions/README.md; docs/gap-audit/next-steps.md; docs/gap-audit/gap_tracker.csv",Completed,P1,S,None,Codex,v1.0,"Updated /Predictions/* UI group to App\\Modules\\User\\Controllers namespace, documented verification via php spark routes, refreshed cursor. Tests: php spark routes (requires composer install; fails in sandbox without vendor). Completed 2026-01-01."
Business,GAP-BUSINESS-001,"How can we assist in managing Business Finance?",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Predictions,GAP-PREDICTIONS-004,"How to setup a Crypto Shorting or Predictions Platform ",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Docs,GAP-DOCS-002,"How to use Ci4 Test Units exactly for testing existing and developing new",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Wallets,GAP-WALLETS-001,"Implement /API/Wallets/summary JSON endpoint and nightly cache pre-warm CLI for dashboard hydration",docs/wallets/wallets-index.md:L48-L106,"app/Modules/APIs/Controllers/WalletsController.php; app/Services/WalletSummaryService.php; app/Commands/WalletsWarmSummaryCache.php; app/Config/Routes.php; docs/wallets/wallets-index.md; docs/gap-audit/gap_tracker.csv; docs/gap-audit/next-steps.md",Completed,P1,M,None,Codex,v1.0,"Added cached /API/Wallets/summary JSON + CLI cache warmer; docs updated with cache keys and verification commands. Tests: curl /API/Wallets/summary (after auth); php spark wallets:warm-summary-cache. Completed Date: 2026-01-01."
