method,route,name,handler,before_filters,after_filters,route_class,classification_status,classification_reason,recommended_gt001c_action,malformed_handler,blank_filters
GET,index.php,»,\App\Controllers\Home::index,,,PUBLIC,OK,Recognized public/lifecycle route.,none,no,yes
GET,index.php/login,»,\App\Controllers\AuthController::login,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,index.php/register,»,\App\Controllers\AuthController::register,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,assets/(.*),»,(Closure),maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,/,»,\App\Controllers\Home::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,healthz,»,\App\Controllers\System\HealthController::healthz,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,ops/health,»,\App\Controllers\OpsHealthController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Maintenance,»,\App\Controllers\MaintenanceController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,API/Ops/health-score,»,\App\Controllers\OpsHealthController::score,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no
GET,API/Ops/filesystem-status,»,\App\Controllers\Api\OpsFilesystemStatusController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,API/docs,»,\App\Controllers\Api\SwaggerDocsController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,admin/ops/health,»,\App\Controllers\OpsHealthController::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,Admin/CoinVault,»,\App\Modules\CoinVault\Controllers\CoinVaultController::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,Admin/CoinVault/Projects,»,\App\Modules\CoinVault\Controllers\CoinVaultController::projects,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,Admin/CoinVault/Project/([0-9]+),»,\App\Modules\CoinVault\Controllers\CoinVaultController::project/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,Admin/CoinVault/Contributions,»,\App\Modules\CoinVault\Controllers\CoinVaultController::contributions,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,Admin/CoinVault/Payouts,»,\App\Modules\CoinVault\Controllers\CoinVaultController::payouts,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,Admin/CoinVault/Wallet/([0-9]+),»,\App\Modules\CoinVault\Controllers\CoinVaultController::wallet/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,API/Docs/index,»,\App\Modules\APIs\Controllers\DocsController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no
GET,API/Docs/view,»,\App\Modules\APIs\Controllers\DocsController::view,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no
GET,Stock/([^/]+)/([^/]+),»,\App\Controllers\StockController::show/$1/$2,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,blog,»,\App\Controllers\Blog::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,blog/category/([^/]+),»,\App\Controllers\Blog::category/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,blog/([^/]+),»,\App\Controllers\Blog::post/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,sw.js,»,\App\Controllers\ServiceWorker::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Apex/Referral,»,\App\Controllers\Home::apexReferral,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
