Watchlist '00 - MyMI EMA Whale Analyzer - <$25 Stocks'

00 - MyMI EMA Whale Analyzer - <$25 Stocks
Symbol,Sum,Stage,pct_Chg_from_52Wk_Lo,52Low,Mark,Mark %Change,%Chng 5 D,52High,pct_Chg_from_52Wk_Hi,pct_1_Mo_Chg,$ Vol,Volume,AbvVol,365Vol,Market Cap,Net Profit Margin - Current (LTM)
PCT,SELL,-3.0,117.78,5.4,11.840,+6.62%,+12.32%,17.37,-32.3,50.0,70.35,"6,054,589",37.97,3.32,"2,119 M",-4036.3
BTDR,SELL,-4.0,131.58,6.84,15.830,+3.74%,+29.10%,27.8,-43.02,58.24,135.36,"8,734,134",19.09,5.92,"3,681 M",-115.59
VSH,SELL,-3.0,76.71,10.35,18.290,+2.35%,+13.74%,19.81,-7.67,22.92,39.24,"2,155,852",26.58,1.84,"2,480 M",-2.557
BTBT,SELL,-5.0,40.24,1.69,2.360000,+2.16%,+4.41%,4.55,-47.91,12.86,79.28,"33,521,719",-0.22,28.59,767 M,129.63
PRMB,BUY,5.0,30.99,14.36,18.810,+1.40%,+3.69%,35.845,-47.52,14.21,108.31,"5,827,826",-34.96,5.89,"6,878 M",-1.3001
KRG,SELL,-2.0,27.63,18.515,23.630,+1.24%,+1.11%,24.54,-3.71,0.68,41.1,"1,756,776",-6.54,1.89,"5,116 M",16.301
ASX,SELL,-1.0,179.68,6.94,19.410,+1.15%,+6.24%,19.665,-1.3,26.86,126.63,"6,501,555",-3.35,9.48,"42,345 M",5.5986
CX,SELL,-3.0,155.42,4.89,12.490,+1.13%,+0.40%,12.69,-1.58,8.33,109.62,"8,822,147",30.55,11.15,"18,121 M",8.596
GNW,WAIT,4.0,39.9,5.99,8.380,+0.96%,-4.77%,9.28,-9.7,-6.58,42.88,"5,160,207",25.06,5.51,"3,347 M",3.0141
OWL,SELL,-3.0,20.23,13.25,15.930,+0.89%,+0.95%,26.725,-40.39,0.63,102.61,"6,455,193",-50.57,9.66,"10,590 M",1.8903
HR,SELL,-2.0,22.5,14.09,17.260,+0.70%,-0.17%,18.97,-9.01,1.41,43.88,"2,552,716",-12.14,3.29,"6,069 M",-30.49
WULF,BUY,5.0,572.33,2.06,13.890,+0.43%,+0.29%,17.05,-18.77,6.62,301.37,"21,703,980",-33.48,42.97,"5,799 M",-336.53
BZ,WAIT,3.0,45.11,13.28,19.270,+0.36%,+0.10%,25.26,-23.71,-4.6,95.23,"4,966,144",61.14,3.82,"8,970 M",31.086
KEY,WAIT,3.0,66.37,12.725,21.240,+0.05%,+0.47%,21.75,-2.67,2.87,320.55,"15,102,509",-7.24,18.92,"22,989 M",18.116
