method,route,name,handler,global_filters,local_filters,classification,status,reason,recommended_action,handler_namespace_review,cli_route
GET,API/Ops/ingest-metrics,»,\App\Modules\APIs\Controllers\OpsAPIController::ingestMetrics,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Ops/OPcacheReset,»,\App\Modules\APIs\Controllers\OpsAPIController::opcacheReset,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Scanner/status,»,\App\Modules\APIs\Controllers\ScannerController::status,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Scanner/results,»,\App\Modules\APIs\Controllers\ScannerController::results,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Scanner/results/([^/]+),»,\App\Modules\APIs\Controllers\ScannerController::symbol/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Discord/process-queue,»,\App\Modules\APIs\Controllers\DiscordAPIController::processQueue,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Discord/coalesce-now,»,\App\Modules\APIs\Controllers\DiscordAPIController::coalesceNow,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Alerts/ingestCsvSignals,»,\App\Modules\APIs\Controllers\AlertsAPIController::ingestCsvSignals,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Alerts/recalcSignalScores,»,\App\Modules\APIs\Controllers\AlertsAPIController::recalcSignalScores,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Alerts/backfillCategories,»,\App\Modules\APIs\Controllers\AlertsAPIController::backfillCategories,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Alerts/scanner,»,\App\Modules\APIs\Controllers\AlertsAPIController::scanner,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Alerts/forceFetchEmails,»,\App\Modules\APIs\Controllers\AlertsAPIController::forceFetchEmails,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
GET,API/Alerts/forceFetchTickers,»,\App\Modules\APIs\Controllers\AlertsAPIController::forceFetchTickers,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,INTERNAL,MISSING_GUARD,API route appears operational/internal but no internal token or cron key guard was recognized.,add_or_confirm_internal_token_or_cron_guard,no,no
