ContentPage,Slug,RoutePath,FullUrl,Category,SearchIntent,ContentType,Priority,SchemaTypes,TargetKeywords,WordCountGoal,RequiresOGTags,RequiresTwitterCard,RequiresCanonical,InternalLinkTargets,LinkedFromModules,PlannedCTA,IsDraft,Status,Owner,LastUpdated,Notes
AI-Powered Trade Insights,ai-powered-trade-insights,/Knowledge/AI-Trade-Insights,https://www.mymiwallet.com/Knowledge/AI-Trade-Insights,AI Insights,informational,Long-Form Article,high,Article|TechArticle|WebPage,"ai trading insights,market predictions,fractal analysis,automated trade ideas",1500,true,true,true,"/Knowledge/Investment-FAQ,/Knowledge/Daily-Financial-News,/Knowledge/Portfolio-Diversification-Strategies","Alerts,Investments,Marketing",Explore AI Insights,true,drafting,Product,2025-11-16,Leverage existing AI alert models and include chart snapshots.
Budgeting Academy – Beginner Guide,budgeting-academy,/Knowledge/Budgeting-Academy,https://www.mymiwallet.com/Knowledge/Budgeting-Academy,Budgeting,educational,Step-by-Step Guide,high,Article|HowTo|EducationalArticle,"budgeting tips,how to budget,personal finance basics,budgeting for beginners,money management guide",2000,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Smart-Savings-Automation,/Knowledge/Investment-FAQ","Budget,Marketing,Navigation",Start Budgeting,true,planned,Marketing,2025-11-16,Series anchor for the budgeting education curriculum.
What is MyMI Wallet?,what-is-mymi-wallet,/Knowledge/What-Is-MyMI-Wallet,https://www.mymiwallet.com/Knowledge/What-Is-MyMI-Wallet,Foundational,informational|navigational,Long-Form Article,high,Article|FinancialService|WebPage,"what is mymi wallet,personal finance dashboard,investment tools overview,crypto portfolio tracker",2000,true,true,true,"/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ,/Knowledge/AI-Trade-Insights","Marketing,Navigation,Landing",Join MyMI Wallet,true,planned,Marketing,2025-11-16,Cornerstone overview for the Knowledge Hub and SEO anchor.
Account Billing – Knowledge Base,account-and-billing,/Knowledge/Account-And-Billing,https://www.mymiwallet.com/Knowledge/Account-And-Billing,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi account-billing,mymi knowledge base account billing,knowledge hub account-and-billing",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Account-And-Billing. Handles GET requests to `/Knowledgebase/Account-And-Billing` via App\Modules\User\Controllers\KnowledgebaseController::accountBilling, helping signed-in users work within the Knowledgebase tools."
Assets – Knowledge Base,assets,/Knowledge/Assets,https://www.mymiwallet.com/Knowledge/Assets,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi assets,mymi knowledge base assets,knowledge hub assets",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Assets. Handles GET requests to `/Knowledgebase/Assets` via App\Modules\User\Controllers\KnowledgebaseController::assets, helping signed-in users work within the Knowledgebase tools."
Crypto Security Essentials,crypto-security-essentials,/Knowledge/Crypto-Security-Essentials,https://www.mymiwallet.com/Knowledge/Crypto-Security-Essentials,Crypto,informational,Tutorial,medium,Article|HowTo,"crypto security essentials,hardware wallet tips,defi safety guide,crypto portfolio protection",1500,true,true,true,"/Knowledge/Crypto-Tax-Help,/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Investment-FAQ","Crypto,Security,Marketing",Secure Your Assets,true,planned,Security,2025-11-16,Pair with breach-response SOPs and hardware wallet recommendations.
Crypto Tax Help – Best Practices,crypto-tax-help,/Knowledge/Crypto-Tax-Help,https://www.mymiwallet.com/Knowledge/Crypto-Tax-Help,Crypto,informational,Long-Form Article,medium,Article|FinancialService,"crypto taxes,capital gains tracking,crypto income reporting,defi tax tools",1500,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Investment-FAQ,/Knowledge/Crypto-Security-Essentials","Crypto,Marketing,Support",Get Crypto Tax Help,true,planned,Marketing,2025-11-16,Align with tax-season campaigns and include downloadable checklist.
Daily Financial News Summary,daily-financial-news-summary,/Knowledge/Today-In-Finance,https://www.mymiwallet.com/Knowledge/Today-In-Finance,Financial News,informational,Public News Digest,medium,NewsArticle,"daily financial news,market summary,stock news digest,market highlights",800,true,true,true,"/Knowledge/AI-Trade-Insights,/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Investment-FAQ","Marketing,Investments,Navigation",Subscribe to Daily News Digest,true,planned,Marketing,2025-11-16,Syndicate MarketAux and AlphaVantage data with commentary.
Integrating Wallets – Knowledge Base,integrating-wallets,/Knowledge/Integrating-Wallets,https://www.mymiwallet.com/Knowledge/Integrating-Wallets,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi integrating-wallets,mymi knowledge base integrating wallets,knowledge hub integrating-wallets",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Integrating-Wallets. Handles GET requests to `/Knowledgebase/Integrating-Wallets` via App\Modules\User\Controllers\KnowledgebaseController::integratingWallets, helping signed-in users work within the Knowledgebase tools."
Investment Tools FAQ,investment-tools-faq,/Knowledge/Investment-FAQ,https://www.mymiwallet.com/Knowledge/Investment-FAQ,Investments,informational,FAQ,medium,FAQPage|FinancialService,"investment tools faq,how to use investment alerts,mymi investment platform,investment planning questions",800,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/AI-Trade-Insights,/Knowledge/Portfolio-Diversification-Strategies","Investments,Support,Marketing",Track Your Investments,true,planned,Marketing,2025-11-16,Answers prioritized questions from investor interviews and support tickets.
