Route	Handler	Theme evidence	Status	Notes
index.php	\App\Controllers\Home::index	Home controller uses renderTheme for public pages; verify action-specific method if needed	LIKELY_PUBLIC_THEME	
index.php/register	\App\Controllers\AuthController::register	renderTheme evidence exists in controller scan	NEEDS_REVIEW	
assets/(.*)	(Closure)	Closure route requires manual route-source inspection	NEEDS_REVIEW	
/	\App\Controllers\Home::index	Home controller uses renderTheme for public pages; verify action-specific method if needed	LIKELY_PUBLIC_THEME	
healthz	\App\Controllers\System\HealthController::healthz	renderTheme evidence exists in controller scan	NEEDS_REVIEW	
ops/health	\App\Controllers\OpsHealthController::index	renderTheme evidence exists in controller scan	NEEDS_REVIEW	
Maintenance	\App\Controllers\MaintenanceController::index	renderTheme evidence exists in controller scan	NEEDS_REVIEW	
admin/ops/health	\App\Controllers\OpsHealthController::index	renderTheme evidence exists in controller scan	NEEDS_REVIEW	
Stock/([^/]+)/([^/]+)	\App\Controllers\StockController::show/$1/$2	renderTheme evidence exists in controller scan	NEEDS_REVIEW	
blog	\App\Controllers\Blog::index	Public/blog/support controller family; verify render call evidence	LIKELY_PUBLIC_THEME	
blog/category/([^/]+)	\App\Controllers\Blog::category/$1	Public/blog/support controller family; verify render call evidence	LIKELY_PUBLIC_THEME	
blog/([^/]+)	\App\Controllers\Blog::post/$1	Public/blog/support controller family; verify render call evidence	LIKELY_PUBLIC_THEME	
sw.js	\App\Controllers\ServiceWorker::index	renderTheme evidence exists in controller scan	NEEDS_REVIEW	
Apex/Referral	\App\Controllers\Home::apexReferral	Home controller uses renderTheme for public pages; verify action-specific method if needed	LIKELY_PUBLIC_THEME	
Apex/Referral/([^/]+)	\App\Controllers\Home::apexReferral/$1	Home controller uses renderTheme for public pages; verify action-specific method if needed	LIKELY_PUBLIC_THEME	
Corporate-Earnings	\App\Controllers\Home::corporateEarnings	Home controller uses renderTheme for public pages; verify action-specific method if needed	LIKELY_PUBLIC_THEME	
Corporate-Earnings/([^/]+)	\App\Controllers\Home::corporateEarnings/$1	Home controller uses renderTheme for public pages; verify action-specific method if needed	LIKELY_PUBLIC_THEME	
Economic-Calendar	\App\Controllers\Home::economicCalendar	Home controller uses renderTheme for public pages; verify action-specific method if needed	LIKELY_PUBLIC_THEME	
Economic-Calendar/([^/]+)	\App\Controllers\Home::economicCalendarContent/$1	Home controller uses renderTheme for public pages; verify action-specific method if needed	LIKELY_PUBLIC_THEME	
