method,route,name,handler,global_filters,local_filters,classification,status,reason,recommended_action,handler_namespace_review,cli_route,gt001d_classification,owner_review_note
GET,API/Marketing/downloadVoiceover/(.*),»,\App\Modules\APIs\Controllers\MarketingAPIController::downloadVoiceover/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,READ_API_TOKEN_CANDIDATE,Likely read API token candidate after caller review.
GET,API/Marketing/distributeHighScoreContent,»,\App\Modules\APIs\Controllers\MarketingAPIController::distributeHighScoreContent,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,MUTATION_API_TOKEN_CANDIDATE,Likely API token candidate after owner confirms non-public caller.
GET,API/Marketing/emailPostForApproval/([0-9]+),»,\App\Modules\APIs\Controllers\MarketingAPIController::emailPostForApproval/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,READ_API_TOKEN_CANDIDATE,Likely read API token candidate after caller review.
GET,API/Marketing/fetchBufferPaginated,»,\App\Modules\APIs\Controllers\MarketingAPIController::fetchBufferPaginated,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,READ_API_TOKEN_CANDIDATE,Likely read API token candidate after caller review.
GET,API/Marketing/fetchFinalizedSummariesBlock,»,\App\Modules\APIs\Controllers\MarketingAPIController::fetchFinalizedSummariesBlock,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,READ_API_TOKEN_CANDIDATE,Likely read API token candidate after caller review.
GET,API/Marketing/fetchGeneratedSummaries,»,\App\Modules\APIs\Controllers\MarketingAPIController::fetchGeneratedSummaries,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,MUTATION_API_TOKEN_CANDIDATE,Likely API token candidate after owner confirms non-public caller.
GET,API/Marketing/fetchGeneratedSummariesBlock,»,\App\Modules\APIs\Controllers\MarketingAPIController::fetchGeneratedSummariesBlock,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,MUTATION_API_TOKEN_CANDIDATE,Likely API token candidate after owner confirms non-public caller.
GET,API/Marketing/fetchGeneratedSummariesJson,»,\App\Modules\APIs\Controllers\MarketingAPIController::fetchGeneratedSummariesJson,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,MUTATION_API_TOKEN_CANDIDATE,Likely API token candidate after owner confirms non-public caller.
GET,API/Marketing/getVideoContent/([0-9]+),»,\App\Modules\APIs\Controllers\MarketingAPIController::getVideoContent/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,READ_API_TOKEN_CANDIDATE,Likely read API token candidate after caller review.
GET,API/Marketing/getVideoQueue,»,\App\Modules\APIs\Controllers\MarketingAPIController::getVideoQueue,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
