slice,route,route_fragment,handler,api_token_guard_present
GT-001D-A2,API/Marketing/deleteScrape/([0-9]+),deleteScrape/(:num),MarketingAPIController::deleteScrape/$1,yes
GT-001D-A2,API/Marketing/archiveVideoContent/([0-9]+),archiveVideoContent/(:num),MarketingAPIController::archiveVideoContent/$1,yes
GT-001D-A2,API/Marketing/deleteTemplate/([0-9]+),deleteTemplate/(:num),MarketingAPIController::deleteTemplate/$1,yes
GT-001D-A2,API/Marketing/rejectBufferItem/([0-9]+),rejectBufferItem/(:num),MarketingAPIController::rejectBufferItem/$1,yes
GT-001D-A2,API/Marketing/Reject-Content/([0-9]+),Reject-Content/(:num),MarketingAPIController::rejectContent/$1,yes
GT-001D-A2,API/Marketing/deletePlatform/([0-9]+),deletePlatform/(:num),ManagementAPIController::deletePlatform/$1,yes
GT-001D-A2,API/Marketing/deletePlatformRule/([0-9]+),deletePlatformRule/(:num),ManagementAPIController::deletePlatformRule/$1,yes
GT-001D-A2,API/Marketing/deleteTaxonomy/([0-9]+),deleteTaxonomy/(:num),ManagementAPIController::deleteTaxonomy/$1,yes
GT-001D-A2,API/Marketing/deleteSuggestion/([0-9]+),deleteSuggestion/(:num),ManagementAPIController::deleteSuggestion/$1,yes
GT-001D-A3,API/Marketing/getVideoQueue,getVideoQueue,MarketingAPIController::getVideoQueue,yes
GT-001D-A3,API/Marketing/getTemplates,getTemplates,MarketingAPIController::getTemplates,yes
GT-001D-A3,API/Marketing/saveTemplate,saveTemplate,MarketingAPIController::saveTemplate,yes
GT-001D-A3,API/Marketing/Campaigns,Campaigns,MarketingAPIController::campaigns,yes
GT-001D-A3,API/Marketing/scheduleNewsletters,scheduleNewsletters,MarketingAPIController::scheduleNewsletterCampaign,yes
GT-001D-A3,API/Marketing/Email-Templates/create,Email-Templates/create,EmailTemplateController::create,yes
GT-001D-A3,API/Marketing/Email-Queue,Email-Queue,EmailQueueController::index,yes
GT-001D-A3,API/Marketing/Email-Queue/create,Email-Queue/create,EmailQueueController::create,yes
GT-001D-A3,API/Marketing/getPlatforms,getPlatforms,ManagementAPIController::getPlatforms,yes
GT-001D-A3,API/Marketing/getPlatformRules/([^/]+),getPlatformRules/(:segment),ManagementAPIController::getPlatformRules/$1,yes
GT-001D-A3,API/Marketing/listSuggestions/([^/]+)/([^/]+),listSuggestions/(:segment)/(:segment),ManagementAPIController::listSuggestions/$1/$2,yes
