method,route,name,handler,global_filters,local_filters,classification,status,reason,recommended_action,handler_namespace_review,cli_route,gt001d_classification,owner_review_note
GET,API/Marketing/getVideoQueue,»,\App\Modules\APIs\Controllers\MarketingAPIController::getVideoQueue,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/getTemplates,»,\App\Modules\APIs\Controllers\MarketingAPIController::getTemplates,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/saveTemplate,»,\App\Modules\APIs\Controllers\MarketingAPIController::saveTemplate,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/Campaigns,»,\App\Modules\APIs\Controllers\MarketingAPIController::campaigns,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/Reject-Content/([0-9]+),»,\App\Modules\APIs\Controllers\MarketingAPIController::rejectContent/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,HIGH_RISK_MUTATION_API_TOKEN_CANDIDATE,Likely requires API token plus owner review before route edit.
GET,API/Marketing/scheduleNewsletters,»,\App\Modules\APIs\Controllers\MarketingAPIController::scheduleNewsletterCampaign,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/Email-Templates/create,»,\App\Modules\APIs\Controllers\EmailTemplateController::create,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/Email-Queue,»,\App\Modules\APIs\Controllers\EmailQueueController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/Email-Queue/create,»,\App\Modules\APIs\Controllers\EmailQueueController::create,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/getPlatforms,»,\App\Modules\APIs\Controllers\ManagementAPIController::getPlatforms,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/getPlatformRules/([^/]+),»,\App\Modules\APIs\Controllers\ManagementAPIController::getPlatformRules/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
GET,API/Marketing/listSuggestions/([^/]+)/([^/]+),»,\App\Modules\APIs\Controllers\ManagementAPIController::listSuggestions/$1/$2,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,OWNER_REVIEW_REQUIRED,Route ownership/caller must be confirmed before guard selection.
POST,API/Marketing/archiveVideoContent/([0-9]+),»,\App\Modules\APIs\Controllers\MarketingAPIController::archiveVideoContent/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,HIGH_RISK_MUTATION_API_TOKEN_CANDIDATE,Likely requires API token plus owner review before route edit.
POST,API/Marketing/rejectBufferItem/([0-9]+),»,\App\Modules\APIs\Controllers\MarketingAPIController::rejectBufferItem/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,HIGH_RISK_MUTATION_API_TOKEN_CANDIDATE,Likely requires API token plus owner review before route edit.
DELETE,API/Marketing/deleteScrape/([0-9]+),»,\App\Modules\APIs\Controllers\MarketingAPIController::deleteScrape/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,HIGH_RISK_MUTATION_API_TOKEN_CANDIDATE,Likely requires API token plus owner review before route edit.
DELETE,API/Marketing/deleteTemplate/([0-9]+),»,\App\Modules\APIs\Controllers\MarketingAPIController::deleteTemplate/$1,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no,HIGH_RISK_MUTATION_API_TOKEN_CANDIDATE,Likely requires API token plus owner review before route edit.
