ID,Category,Phase,Check ID,Component,Description,Expected Behavior,Validation Method,Status,Notes
1,Registration,Input Validation,REG-001,Frontend Form,Registration form loads without auth,Public page accessible without login,Manual UI Test,Complete,
2,Registration,Input Validation,REG-002,Frontend Form,"Required fields enforced (email, username, password)",Client-side validation blocks submit,Manual UI Test,Complete,
3,Registration,Input Validation,REG-003,Frontend Form,Password rules enforced,Meets min length & complexity,Manual UI Test,Complete,Current 8 Characters with Numeric/Special Required
4,Registration,Input Validation,REG-004,Backend Validation,Username validation matches frontend rules,No mismatch or silent rejection,Manual + Code Review,,
5,Registration,Input Validation,REG-005,Backend Validation,Duplicate email detection,Registration blocked with clear message,Manual UI Test,Complete,Applies to Username/Email
6,Registration,Submission,REG-006,Controller,Registration endpoint reachable,POST /register returns 200/302,Manual UI + Logs,,
7,Registration,Submission,REG-007,Controller,Successful registration creates user record,User row inserted in database,DB Query Check,,
8,Registration,Submission,REG-008,Database,User password stored securely,Password hashed (bcrypt/argon),DB Query Check,,
9,Registration,Submission,REG-009,Database,User active flag set correctly,Inactive until verification (if enabled),DB Query Check,,
10,Registration,Submission,REG-010,Audit Logs,Registration logged,Entry exists in bf_error_logs or audit logs,Log Review,,
11,Verification,Email Delivery,VER-001,Mail Config,SMTP connection works,No mail transport errors,CLI Email Test,,
12,Verification,Email Delivery,VER-002,Email Service,Activation email sent on registration,Email received within 60 seconds,Manual Inbox Test,,
13,Verification,Email Delivery,VER-003,Email Content,Activation link is valid,URL contains valid token,Manual Email Review,,
14,Verification,Token Handling,VER-004,Database,Activation token stored securely,Token exists & is time-limited,DB Query Check,,
15,Verification,Token Handling,VER-005,Route,Activation route is public,/activate accessible without auth,Manual Route Test,,
16,Verification,Token Handling,VER-006,Controller,Valid token activates user,User active flag flips to true,Manual UI + DB Check,,
17,Verification,Token Handling,VER-007,Controller,Expired token handled gracefully,Clear error + retry option,Manual Test,,
18,Verification,Token Handling,VER-008,Controller,Invalid token rejected,No activation occurs,Manual Test,,
19,Login,Access Control,LOG-001,Public Routes,/login accessible without auth,Login page loads,Manual UI Test,,
20,Login,Authentication,LOG-002,Controller,Valid login credentials accepted,User logged in successfully,Manual UI Test,,
21,Login,Authentication,LOG-003,Controller,Invalid password rejected,Clear error message shown,Manual UI Test,,
22,Login,Authentication,LOG-004,Session,Session created on login,Session record exists,Log + Cookie Check,,
23,Login,Authentication,LOG-005,Cookies,Session cookie valid,Correct prefix/secure/samesite,Cookie Inspection,,
24,Login,Authentication,LOG-006,Cookies,Remember-me cookie works (if enabled),User persists after browser restart,Manual Browser Test,,
25,Login,Authentication,LOG-007,Filters,Protected routes require auth,Unauth user redirected to login,Manual Route Test,,
26,Password Reset,Request,RES-001,Public Routes,/forgot-password accessible,Form loads without auth,Manual UI Test,,
27,Password Reset,Request,RES-002,Controller,Valid email accepted,Reset email sent,Manual Inbox Test,,
28,Password Reset,Request,RES-003,Controller,Unknown email handled safely,No user enumeration,Manual UI Test,,
29,Password Reset,Token Handling,RES-004,Database,Reset token stored securely,Token exists & expires,DB Query Check,,
30,Password Reset,Token Handling,RES-005,Route,/reset-password/{token} accessible,Public route works,Manual Route Test,,
31,Password Reset,Token Handling,RES-006,Controller,Valid token allows password reset,Password updated successfully,Manual UI + DB Check,,
32,Password Reset,Token Handling,RES-007,Controller,Token reuse blocked,Second use rejected,Manual Test,,
33,Account Management,Profile,ACC-001,Protected Routes,/account/profile requires login,Redirects when unauthenticated,Manual Route Test,,
34,Account Management,Profile,ACC-002,Controller,Profile loads correctly,User data displayed correctly,Manual UI Test,,
35,Account Management,Profile,ACC-003,Controller,Profile update saves correctly,Changes persist in DB,Manual UI + DB Check,,
36,Account Management,Security,ACC-004,Controller,Password change requires current password,Incorrect current password rejected,Manual UI Test,,
37,Account Management,Security,ACC-005,Controller,Password change invalidates old sessions,Other sessions logged out,Manual Test,,
38,Administration,User Management,ADM-001,Admin UI,Admin can list users,User list loads without error,Manual UI Test,,
39,Administration,User Management,ADM-002,Admin UI,Admin can deactivate user,User cannot login afterward,Manual UI + Login Test,,
40,Administration,User Management,ADM-003,Admin UI,Admin can reactivate user,User can login again,Manual UI + Login Test,,
41,Administration,User Management,ADM-004,Audit Logs,Admin actions logged,Entries written to audit logs,Log Review,,
42,Security & Stability,CLI,SEC-001,CLI,auth:audit runs without fatal errors,No crashes or signature errors,CLI Test,,
42,Security & Stability,CLI,SEC-002,CLI,auth:audit health score acceptable,Score >= 85%,CLI Output Review,,
42,Security & Stability,Config,SEC-003,Cookies,Cookie config strictly typed (bool/string),No CI4 type errors,Config Review,,
42,Security & Stability,Filters,SEC-004,Filters,Public routes excluded from auth filter,No redirect loops,Manual Route Test,,
42,Security & Stability,Database,SEC-005,Schema,Auth-related tables fully migrated,No missing columns,DB Schema Review,,
42,Security & Stability,Logs,SEC-006,Logging,No CRITICAL auth errors in logs,Clean logs during tests,Log Review,,
