Module,Area,FeatureName,RoutePath,FullUrl,Category,Status,TargetKeywords,SchemaTypes,HasJsonLd,HasOpenGraph,HasTwitterCard,CanonicalUrl,HasCanonicalTag,InternalLinkPriority,HasFooterLink,HasSidebarLink,HasBreadcrumb,HasRelatedFeaturesBlock,LinkedFromModules,LinkedFromRoutes,Notes
Advertise,Features,Features – Brokerage Integrations,/Features/Brokerage-Integrations,https://www.mymiwallet.com/Features/Brokerage-Integrations,Public,active,"features brokerage integrations,features tools,advertise dashboard,handles requests features brokerage,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/Features/Brokerage-Integrations,todo,medium,true,todo,todo,todo,,,
Advertise,Features,Features – Features,/Features,https://www.mymiwallet.com/Features,Public,active,"features features,features tools,advertise dashboard,handles requests features modules,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/Features,todo,medium,true,todo,todo,todo,,,
Advertise,HowItWorks,HowItWorks – My Migold,/Features/MyMI-Gold,https://www.mymiwallet.com/Features/MyMI-Gold,Public,active,"how mymi wallet works,platform overview,product explanation,investment automation",WebPage,todo,todo,todo,https://www.mymiwallet.com/Features/MyMI-Gold,todo,medium,true,todo,todo,todo,,,
AuctionsController,Auctions,Auctions – Auctions,/Auctions,https://www.mymiwallet.com/Auctions,Public,active,"auctions auctions,auctions tools,auctionscontroller dashboard,handles requests auctions controllers,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/Auctions,todo,medium,true,todo,todo,todo,,,
AuctionsController,Auctions,Auctions – Item,/Auctions/Item/(:num),https://www.mymiwallet.com/Auctions/Item/(:num),Public,active,"auctions item,auctions tools,auctionscontroller dashboard,handles requests auctions item,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/Auctions/Item/(:num),todo,medium,true,todo,todo,todo,,,
AuctionsController,Auctions,Auctions – Poll,/Auctions/Poll/(:num),https://www.mymiwallet.com/Auctions/Poll/(:num),Public,active,"auctions poll,auctions tools,auctionscontroller dashboard,handles requests auctions poll,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/Auctions/Poll/(:num),todo,medium,true,todo,todo,todo,,,
AuthController,Auth,Auth – Activate Account,/activate,https://www.mymiwallet.com/activate,Auth / Onboarding,active,"auth activate account,auth tools,authcontroller dashboard,handles requests activate controllers,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/activate,todo,medium,todo,todo,todo,todo,,,alias: activate
AuthController,Auth,Auth – Activate Account,/activate-account,https://www.mymiwallet.com/activate-account,Auth / Onboarding,active,"auth activate account,auth tools,authcontroller dashboard,handles requests activate account,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/activate-account,todo,medium,todo,todo,todo,todo,,,alias: activate-account-get
AuthController,Auth,Auth – Create Temp User,/test-create-user,https://www.mymiwallet.com/test-create-user,Auth / Onboarding,active,"auth create temp user,auth tools,authcontroller dashboard,handles requests test create,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/test-create-user,todo,medium,todo,todo,todo,todo,,,
AuthController,Auth,Auth – Forgot Password,/forgot-password,https://www.mymiwallet.com/forgot-password,Auth / Onboarding,active,"auth forgot password,auth tools,authcontroller dashboard,handles requests forgot password,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/forgot-password,todo,medium,todo,todo,todo,todo,,,alias: forgot-password
AuthController,Auth,Auth – Handle Provider Callback,/auth/provider/(:segment)/callback,https://www.mymiwallet.com/auth/provider/(:segment)/callback,Auth / Onboarding,active,"auth handle provider callback,auth tools,authcontroller dashboard,handles requests auth provider,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/auth/provider/(:segment)/callback,todo,medium,todo,todo,todo,todo,,,alias: auth-provider-callback
AuthController,Auth,Auth – Link Provider,/auth/link/(:segment),https://www.mymiwallet.com/auth/link/(:segment),Auth / Onboarding,active,"auth link provider,auth tools,authcontroller dashboard,handles requests auth link,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/auth/link/(:segment),todo,medium,todo,todo,todo,todo,,,alias: auth-link-provider
AuthController,Auth,Auth – Login,/login,https://www.mymiwallet.com/login,Auth / Onboarding,active,"auth login,auth tools,authcontroller dashboard,handles requests login controllers,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/login,todo,medium,todo,todo,todo,todo,,,alias: login
AuthController,Auth,Auth – Logout,/logout,https://www.mymiwallet.com/logout,Auth / Onboarding,active,"auth logout,auth tools,authcontroller dashboard,handles requests logout controllers,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/logout,todo,medium,todo,todo,todo,todo,,,
AuthController,Auth,Auth – Redirect To Provider,/auth/provider/(:segment),https://www.mymiwallet.com/auth/provider/(:segment),Auth / Onboarding,active,"auth redirect to provider,auth tools,authcontroller dashboard,handles requests auth provider,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/auth/provider/(:segment),todo,medium,todo,todo,todo,todo,,,alias: auth-provider
AuthController,Auth,Auth – Register,/(:any)/register,https://www.mymiwallet.com/(:any)/register,Auth / Onboarding,active,"auth register,auth tools,authcontroller dashboard,handles requests register controllers,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/(:any)/register,todo,medium,todo,todo,todo,todo,,,alias: dynamic-register
AuthController,Auth,Auth – Register,/(:any)/register/(:segment),https://www.mymiwallet.com/(:any)/register/(:segment),Auth / Onboarding,active,"auth register,auth tools,authcontroller dashboard,handles requests register segment,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/(:any)/register/(:segment),todo,medium,todo,todo,todo,todo,,,alias: dynamic-register-referral
AuthController,Auth,Auth – Register,/register,https://www.mymiwallet.com/register,Auth / Onboarding,active,"auth register,auth tools,authcontroller dashboard,handles requests register controllers,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/register,todo,medium,todo,todo,todo,todo,,,alias: register
AuthController,Auth,Auth – Register,/register/(:segment),https://www.mymiwallet.com/register/(:segment),Auth / Onboarding,active,"auth register,auth tools,authcontroller dashboard,handles requests register segment,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/register/(:segment),todo,medium,todo,todo,todo,todo,,,alias: register-segment
AuthController,Auth,Auth – Resend Activate Account,/resend-activate-account,https://www.mymiwallet.com/resend-activate-account,Auth / Onboarding,active,"auth resend activate account,auth tools,authcontroller dashboard,handles requests resend activate,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/resend-activate-account,todo,medium,todo,todo,todo,todo,,,alias: resend-activate-account
AuthController,Auth,Auth – Resend Activation,/resend-activation,https://www.mymiwallet.com/resend-activation,Auth / Onboarding,active,"auth resend activation,auth tools,authcontroller dashboard,handles requests resend activation,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/resend-activation,todo,medium,todo,todo,todo,todo,,,alias: resend-activation
AuthController,Auth,Auth – Reset Password,/reset-password,https://www.mymiwallet.com/reset-password,Auth / Onboarding,active,"auth reset password,auth tools,authcontroller dashboard,handles requests reset password,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/reset-password,todo,medium,todo,todo,todo,todo,,,alias: reset-password
AuthController,Auth,Auth – Unlink Provider,/auth/unlink/(:segment),https://www.mymiwallet.com/auth/unlink/(:segment),Auth / Onboarding,active,"auth unlink provider,auth tools,authcontroller dashboard,handles requests auth unlink,mymiwallet platform",WebPage,todo,todo,todo,https://www.mymiwallet.com/auth/unlink/(:segment),todo,medium,todo,todo,todo,todo,,,alias: auth-unlink-provider
Blog,Announcements,Announcements – Announcements,/Announcements,https://www.mymiwallet.com/Announcements,Public,active,"announcements announcements,announcements tools,blog dashboard,handles requests announcements modules,mymiwallet platform","NewsArticle,WebPage",todo,todo,todo,https://www.mymiwallet.com/Announcements,todo,medium,true,todo,todo,todo,,,
Blog,Blog,Blog – Blog,/Blog,https://www.mymiwallet.com/Blog,Public,active,"blog blog,blog tools,blog dashboard,handles requests blog modules,mymiwallet platform","NewsArticle,WebPage",todo,todo,todo,https://www.mymiwallet.com/Blog,todo,medium,true,todo,todo,todo,,,
Blog,Blog,Blog – View Blog,/Blog/Post/(:segment),https://www.mymiwallet.com/Blog/Post/(:segment),Public,active,"blog view blog,blog tools,blog dashboard,handles requests blog post,mymiwallet platform","NewsArticle,WebPage",todo,todo,todo,https://www.mymiwallet.com/Blog/Post/(:segment),todo,medium,true,todo,todo,todo,,,
Blog,Earnings,Earnings – Earnings,/Blog/Earnings,https://www.mymiwallet.com/Blog/Earnings,Public,active,"earnings earnings,earnings tools,blog dashboard,handles requests blog earnings,mymiwallet platform","NewsArticle,WebPage",todo,todo,todo,https://www.mymiwallet.com/Blog/Earnings,todo,medium,true,todo,todo,todo,,,
Blog,Earnings,Earnings – Test,/Blog/Earnings/Test,https://www.mymiwallet.com/Blog/Earnings/Test,Public,active,"earnings test,earnings tools,blog dashboard,handles requests blog earnings,mymiwallet platform","NewsArticle,WebPage",todo,todo,todo,https://www.mymiwallet.com/Blog/Earnings/Test,todo,medium,true,todo,todo,todo,,,
