batch_order,method,route,handler,classification,status,recommended_action,already_api_token_guarded,batch_recommendation
1,GET,API/Marketing/distributeHighScoreContent,\App\Modules\APIs\Controllers\MarketingAPIController::distributeHighScoreContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
2,GET,API/Marketing/fetchGeneratedSummaries,\App\Modules\APIs\Controllers\MarketingAPIController::fetchGeneratedSummaries,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
3,GET,API/Marketing/fetchGeneratedSummariesBlock,\App\Modules\APIs\Controllers\MarketingAPIController::fetchGeneratedSummariesBlock,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
4,GET,API/Marketing/fetchGeneratedSummariesJson,\App\Modules\APIs\Controllers\MarketingAPIController::fetchGeneratedSummariesJson,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
5,GET,API/Marketing/generateFromTicker,\App\Modules\APIs\Controllers\MarketingAPIController::generateFromTicker,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
6,GET,API/Marketing/generateFromTopic,\App\Modules\APIs\Controllers\MarketingAPIController::generateFromTopic,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
7,GET,API/Marketing/generateFromScrapedSource/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::generateFromScrapedSource/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
8,GET,API/Marketing/forceGenerateFromTemp,\App\Modules\APIs\Controllers\MarketingAPIController::forceGenerateFromTemp,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
9,GET,API/Marketing/ForceGenerateFromTemp/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::ForceGenerateFromTemp/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
10,GET,API/Marketing/generateCampaignContent,\App\Modules\APIs\Controllers\MarketingAPIController::generateCampaignContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
11,GET,API/Marketing/generateDailyMarketCampaign,\App\Modules\APIs\Controllers\MarketingAPIController::generateDailyMarketCampaign,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
12,GET,API/Marketing/generateCampaignStepContent,\App\Modules\APIs\Controllers\MarketingAPIController::generateCampaignStepContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
13,GET,API/Marketing/generateContentFromScraper,\App\Modules\APIs\Controllers\MarketingAPIController::generateContentFromScraper,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
14,GET,API/Marketing/generateContentDigestFromStored,\App\Modules\APIs\Controllers\MarketingAPIController::generateContentDigestFromStored,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
15,GET,API/Marketing/generateDailyContentDigest,\App\Modules\APIs\Controllers\MarketingAPIController::generateDailyContentDigest,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
16,GET,API/Marketing/generateKimiSummaries,\App\Modules\APIs\Controllers\MarketingAPIController::generateKimiSummaries,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
17,GET,API/Marketing/generateKimiPosts,\App\Modules\APIs\Controllers\MarketingAPIController::generateKimiPosts,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
18,GET,API/Marketing/GenerateFromSimilar/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::generateFromSimilar/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
19,GET,API/Marketing/generateFromSimilar,\App\Modules\APIs\Controllers\MarketingAPIController::generateFromSimilar,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
20,GET,API/Marketing/generateLivePreview,\App\Modules\APIs\Controllers\MarketingAPIController::generateLivePreview,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_required,review_for_gt001d_b1_route_guard_patch
